clustering_method,pca_n_components,num_clusters,standardize,sum_cluster_values,all_cluster_values,accuracy_total,accuracy_Type_A,accuracy_Type_B,accuracy_Type_C,accuracy_Type_D,accuracy_Type_E,accuracy_Type_F,accuracy_Type_G,accuracy_Type_H,accuracy_Type_J
gmm,4,100,True,3980,7520,0.5292553191489362,0.6806896551724138,0.43821209465381245,0.4006734006734007,0.616557734204793,0.0,0.0,0.0,0.2835820895522388,0.6426512968299711
gmm,20,32,False,3980,7520,0.5292553191489362,0.7062068965517241,0.4198071866783523,0.4511784511784512,0.5257806826434277,0.0,0.0,0.0,0.3880597014925373,0.6462536023054755
gmm,3,38,False,3979,7520,0.529122340425532,0.6613793103448276,0.4601226993865031,0.33221099887766553,0.6492374727668845,0.14356435643564355,0.0,0.0,0.0,0.7060518731988472
gmm,False,41,False,3979,7520,0.529122340425532,0.6151724137931035,0.48115687992988604,0.3939393939393939,0.6201888162672476,0.23267326732673269,0.0,0.0,0.0,0.6736311239193083
gmm,False,38,True,3979,7520,0.529122340425532,0.6993103448275862,0.5714285714285714,0.24074074074074073,0.6434277414669571,0.4158415841584158,0.0,0.0,0.4552238805970149,0.6145533141210374
gmm,4,92,True,3978,7520,0.5289893617021276,0.68,0.406660823838738,0.4169472502805836,0.5954974582425563,0.17326732673267325,0.0,0.0,0.2835820895522388,0.6426512968299711
gmm,2,85,False,3978,7520,0.5289893617021276,0.6724137931034483,0.4767747589833479,0.37991021324354657,0.6049382716049383,0.0,0.0,0.0,0.05970149253731343,0.6779538904899135
gmm,False,48,True,3978,7520,0.5289893617021276,0.7420689655172413,0.44347063978965817,0.31313131313131315,0.6143790849673203,0.3415841584158416,0.0,0.0,0.0,0.6649855907780979
gmm,5,57,False,3977,7520,0.5288563829787234,0.7241379310344828,0.4136722173531989,0.38496071829405165,0.616557734204793,0.0,0.0,0.0,0.23134328358208955,0.6404899135446686
gmm,20,45,False,3976,7520,0.5287234042553192,0.7027586206896552,0.4163014899211218,0.4219977553310887,0.5584604212055192,0.04455445544554455,0.0,0.0,0.17164179104477612,0.6693083573487032
gmm,10,61,True,3974,7520,0.5284574468085106,0.7289655172413793,0.42506573181419804,0.3613916947250281,0.6318082788671024,0.16336633663366337,0.0,0.0,0.0,0.6376080691642652
gmm,3,52,False,3974,7520,0.5284574468085106,0.7089655172413794,0.48816827344434705,0.3383838383838384,0.615831517792302,0.14356435643564355,0.0,0.0,0.0,0.6548991354466859
gmm,False,32,False,3973,7520,0.5283244680851064,0.6868965517241379,0.5249780893952674,0.30078563411896747,0.7138707334785767,0.0,0.0,0.0,0.34328358208955223,0.5857348703170029
gmm,10,25,False,3972,7520,0.5281914893617021,0.7951724137931034,0.38913234005258546,0.32154882154882153,0.5780682643427741,0.31683168316831684,0.0,0.0,0.0,0.6786743515850144
gmm,5,35,False,3971,7520,0.5280585106382979,0.7255172413793104,0.4022787028921998,0.43434343434343436,0.6122004357298475,0.0,0.0,0.0,0.0,0.6073487031700289
gmm,20,85,True,3969,7520,0.5277925531914893,0.7275862068965517,0.3032427695004382,0.478675645342312,0.5148874364560639,0.27722772277227725,0.0,0.0,0.19402985074626866,0.6657060518731989
gmm,2,78,False,3968,7520,0.5276595744680851,0.6724137931034483,0.45574057843996496,0.3653198653198653,0.6347131445170661,0.0,0.0,0.0,0.17164179104477612,0.6664265129682997
gmm,5,92,True,3968,7520,0.5276595744680851,0.6779310344827586,0.4268185801928133,0.40347923681257014,0.6332607116920842,0.0891089108910891,0.0,0.0,0.17164179104477612,0.6239193083573487
gmm,4,85,True,3967,7520,0.5275265957446809,0.7241379310344828,0.4014022787028922,0.43602693602693604,0.5751633986928104,0.12871287128712872,0.0,0.0,0.2835820895522388,0.5951008645533141
