clustering_method,pca_n_components,num_clusters,standardize,sum_cluster_values,all_cluster_values,accuracy_total,accuracy_Type_A,accuracy_Type_B,accuracy_Type_C,accuracy_Type_D,accuracy_Type_E,accuracy_Type_F,accuracy_Type_G,accuracy_Type_H,accuracy_Type_J
gmm,2,85,False,3789,7520,0.5038563829787234,0.8434482758620689,0.0,0.44107744107744107,0.5896877269426289,0.024752475247524754,0.0,0.0,0.27611940298507465,0.6671469740634006
gmm,3,100,True,3788,7520,0.5037234042553191,0.9124137931034483,0.0008764241893076249,0.4158249158249158,0.5896877269426289,0.24752475247524752,0.08333333333333333,0.0,0.029850746268656716,0.6167146974063401
gmm,2,78,False,3788,7520,0.5037234042553191,0.8434482758620689,0.0,0.44107744107744107,0.5896877269426289,0.024752475247524754,0.0,0.0,0.27611940298507465,0.6664265129682997
gmm,10,61,True,3787,7520,0.5035904255319149,0.5248275862068965,0.3987730061349693,0.5420875420875421,0.4662309368191721,0.24752475247524752,0.08333333333333333,0.0,0.029850746268656716,0.654178674351585
gmm,2,72,False,3787,7520,0.5035904255319149,0.8434482758620689,0.0,0.4393939393939394,0.5896877269426289,0.024752475247524754,0.0,0.0,0.27611940298507465,0.6678674351585014
gmm,2,48,False,3784,7520,0.5031914893617021,0.8434482758620689,0.0,0.43546576879910215,0.5925925925925926,0.024752475247524754,0.0,0.0,0.27611940298507465,0.6678674351585014
gmm,2,52,False,3784,7520,0.5031914893617021,0.8434482758620689,0.0,0.43546576879910215,0.5925925925925926,0.024752475247524754,0.0,0.0,0.27611940298507465,0.6678674351585014
gmm,2,57,False,3784,7520,0.5031914893617021,0.8434482758620689,0.0,0.43546576879910215,0.5925925925925926,0.024752475247524754,0.0,0.0,0.27611940298507465,0.6678674351585014
gmm,2,61,False,3784,7520,0.5031914893617021,0.8434482758620689,0.0,0.43546576879910215,0.5925925925925926,0.024752475247524754,0.0,0.0,0.27611940298507465,0.6678674351585014
gmm,2,67,False,3784,7520,0.5031914893617021,0.8434482758620689,0.0,0.43546576879910215,0.5925925925925926,0.024752475247524754,0.0,0.0,0.27611940298507465,0.6678674351585014
gmm,3,92,True,3782,7520,0.5029255319148936,0.9124137931034483,0.0008764241893076249,0.4180695847362514,0.5831517792302106,0.2376237623762376,0.16666666666666666,0.0,0.029850746268656716,0.6167146974063401
gmm,10,57,False,3780,7520,0.5026595744680851,0.9441379310344827,0.0008764241893076249,0.40179573512906847,0.5504720406681191,0.16831683168316833,0.0,0.0,0.29850746268656714,0.6210374639769453
gmm,2,45,False,3779,7520,0.5025265957446808,0.8434482758620689,0.0,0.4287317620650954,0.5976761074800291,0.024752475247524754,0.0,0.0,0.27611940298507465,0.6678674351585014
gmm,5,67,True,3774,7520,0.5018617021276596,0.8889655172413793,0.17177914110429449,0.33557800224466894,0.5744371822803195,0.3415841584158416,0.08333333333333333,0.0,0.3208955223880597,0.5670028818443804
gmm,4,92,False,3774,7520,0.5018617021276596,0.9020689655172414,0.0,0.38496071829405165,0.5773420479302832,0.1782178217821782,0.0,0.058823529411764705,0.21641791044776118,0.6613832853025937
